名词(中文)	名词(英文)	解释(中文)	解释(英文)
叶脉	Nerve	叶的明显而简单脉或肋。	A prominent, simple vein or rib of a leaf. See illustration for midvein.
叶柄	Petiole	叶的柄。	A leaf stalk.
小叶柄	Petiolule	复叶中小叶的叶柄。	The stalk of a leaflet of a compound leaf.
羽片	Pinna (pl. Pinnae)	羽状复叶的一回羽状小叶。见小叶的插图。	one of the primary divisions or leaflets of a pinnate leaf. See illustration for leaflet.
小羽片	Pinnule	二回或二回以上羽状复叶的末级羽片。	The pinnate division of a pinna in a bipinnately compound leaf, or the ultimate divisions of a leaf which is more than twice pinnately compound.
叶轴	Rachis	复叶的主轴。	The main axis of a compound leaf.
叶轴	Rhachis	复叶的主轴。	The main axis of a compound leaf.
肋	Rib	叶片上主要的纵脉。	A main longitudinal vein in a leaf.
裂片	Segment	叶的裂片。	A section or division of a leaf.
凹缺	Sinus	叶两裂片之间的缺裂、凹陷。	The cleft, depression, or recess. Between two lobes of a leaf.
托叶	Stipule	某些叶柄基部成对的叶状附属物。	One of a pair of leaf-like appendages found at the base of the petiole in some leaves.
卷须	Tendril	柔弱并具缠绕性器官，用以支撑物攀缘生长。	A slender, twining organ used to grasp support form climbing.
齿	Tooth	边缘上的小裂片或尖。	Any small lobe or point along a margin.
脉	Vein	维管束，通常外形可见，如叶中。	A vascular bundle, usually visible externally, as in leaves.
细脉	Veinlet	小的脉。	A small vein.
平卧的	Prostrate	平铺在地面上。	Lying flat on the ground.
具翅茎的	Pterocaulous	茎具翅。	With winged stems.
垫状的	Pulvinate	枕状或垫状。	Cushion-like or mat-like.
垫状的	Pulviniform	枕状或垫状。	Cushion-like or mat-like.
四棱的	Quadrangular	具四个棱角。	Four-angled.
四棱的	Quadrangulate	具四个棱角。	Four-angled.
枝状的	Ramiform	枝条状的；分枝的。	Branchlike in form; branched.
多枝的	Ramose	具许多分枝的；分枝。	With many branches; branching.
多枝的	Ramous	具许多分枝的；分枝。	With many branches; branching.
多小枝的	Ramulose	具许多分枝的；分枝。	With many branches; branching.
拱垂的	Reclining	向下弯曲，靠着某物并由其支撑。	Bending or curving downward. Lying upon something and being supported by it.
横卧的	Recumbent	依靠或躺在地面；平卧的。	Leaning or resting on the ground; prostrate.
匍匐（生根）的	Repent	平卧的；匍匐的。	Prostrate; creeping.
根状茎的	Rhizomatous	具根状茎。	With rhizomes.
莲座状的	Rosulate	具有莲座状排列的叶，茎干极短或无。	With the leaves arranged in basal rosettes, the stem very short or lacking .
多头的	Multicipital	具有多个头，高度分枝的茎基。	With many heads, as in a highly branched caudex.
具节的	Nodiferous	具节。	With nodes.
裸茎的	Nudicaul	无叶的茎。	With leafless stem.
直枝的	Orthocladous	具直立的枝条。	With straight branches.
直生的	Orthotropic	具有近似或表现出直立生长的习性。	Of, pertaining to, or exhibiting an essentially vertical growth habit.
粗枝的	Pachycladous	具粗壮枝条。	With thick branches.
多头的	Pluricipital	具有多个头，高度分枝的茎基。	With many heads, as in a highly branched caudex.
平卧的	Procumbent	茎沿地面上生长，但在节外不生根。	Lying or trailing on the ground, but not rooting at the nodes.
角质层	Cuticle	茎表面的蜡质层。	The waxy layer on the surface of a stem.
上胚轴	Epicotyl	6子叶着生处以上的胚轴部分。	That portion of the embryonic stem above the cotyledons.
表皮	Epidermis	茎上最外面的细胞层。	The outermost cellular layer of a stem.
心材	Heartwood	木本茎干最内的颜色通常较深的木材。	The innermost, usually somewhat darker wood of a woody stem.
下胚轴	Hypocotyl	子叶着生处以下的胚轴部分。	That portion of the embryonic stem below the cotyledons.
节间	Internode	茎上两个节之间的部分。	The portion of a stem between two nodes.
节、关节	Joint	茎上着生叶或枝的部位；节，尤见于禾草本茎。	The section of a stem from which a leaf or branch arises; a node, especially on a grass stem.
叶痕	Leaf scar	叶脱落后留在枝上的痕迹。	The scar remaining on a twig after a leaf falls.
皮孔	Lenticel	幼茎表面略隆起的、木栓化的、凸镜状的结构。	A slightly raised, somewhat corky, often lens-shaped area on the surface of a young stem.
分生组织	Meristem	苗端生长点未分化的具有活跃分裂能力的组织。	Undifferentiated, actively dividing tissues at the growing tip of a shoot.
节	Node	茎上叶和枝的发生部位。	The position on the stem where leaves or branches originate.
韧皮部	Phloem	维管植物传输营养物质的组织；	The food conducting tissue of vascular plants; bark.
髓	Pith	某些茎和根中央的海绵状薄壁组织。	The spongy, parenchymatous central tissue in some stems and roots.
皮刺	Prickle	表皮或树皮上小而尖的突起。	A small , sharp outgrowth of the epidermis or bark.
边材	Sapwood	木本茎中新产生的颜色通常较淡的木材，具有输导水分的功能；边材。	The outer, newer, usually somewhat lighter, wood of woody stem; the wood that is actively transporting water; alburnum.
中柱	Stele	茎的初生维管结构，包括维管组织和维管组织以内的所有组织。	The primary vascular structure of a stem, including the vascular tissues and all tissues internal to the vascular tissues.
树干	Trunk	树的分枝以下的主茎。	The main stem of a tree below the branches.
小枝	Twig	树上的小枝条。	A small shoot or branch from a tree.
鳞茎	Bulb	具有增厚肉质鳞片的地下芽，如洋葱。	An underground bud with thickened fleshy scales, as in the onion.
